Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,Price_in_taka,Location,City_cumilla,City_dhaka,City_gazipur,City_narayanganj-city
A 2000 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Bashundhara R-a,4.0,4.0,5.0,1.0,2000.0,22000000.0,"Block B, Bashundhara R-A",False,True,False,False
"1593 Sq Ft Nicely Planned Apartment Is Available For Sale In Lalmatia, Block B",3.0,3.0,4.0,1.0,1593.0,21500000.0,"Block B, Lalmatia",False,True,False,False
A 1220 Sq Ft Home Is Available To Sale In West Shewrapara,3.0,2.0,6.0,1.0,1220.0,5000000.0,"West Shewrapara, Mirpur",False,True,False,False
1040 Sq Ft Properly Developed Flat For Sale In Rajanigandha Residential Area,2.0,2.0,1.0,1.0,1040.0,6500000.0,"Section 15, Mirpur",False,True,False,False
"A 1620 Sq Ft Residential Apartment For Sale, In Block C, Khilgaon",3.0,3.0,4.0,1.0,1620.0,16500000.0,"Block C, Khilgaon",False,True,False,False
Flat For Sale Covering A Beautiful Area In Bashundhara R-a Nearby Basundhara Residential Area Puja Mondop.,3.0,3.0,4.0,1.0,1550.0,14500000.0,"Block I, Bashundhara R-A",False,True,False,False
"1000 Sq Ft Apartment For Sale In Pallabi, Mirpur",2.0,2.0,5.0,1.0,1000.0,5500000.0,"Pallabi, Mirpur",False,True,False,False
"We Offer You An Excellent And Spacious Commercial Space Of 1840 Sq Ft At Tejgaon, For Sale",3.0,3.0,3.0,1.0,1840.0,46000000.0,"Hatir Jheel Link Road, Tejgaon",False,True,False,False
A Standard Apartment In Mirpur Near To M.A Zabbar Memorial High School Is Up For Sale,2.0,2.0,2.0,1.0,740.0,4000000.0,"Pirerbag, Mirpur",False,True,False,False
An Attractively Designed 1250 Sq Ft Apartment For Sale In Mirpur Section 10,3.0,3.0,6.0,1.0,1250.0,7800000.0,"Section 10, Mirpur",False,True,False,False
"Buy This Modest 1430 Sq Ft Flat In Bashundhara R-a, Block J",3.0,3.0,5.0,1.0,1430.0,12000000.0,"Block J, Bashundhara R-A",False,True,False,False
Celebrate Life Each Day In Your New Apartment Of 1690 Sq Ft At Boro Maghbazar With Your Beloved Family,3.0,3.0,1.0,1.0,1690.0,14800000.0,"Boro Maghbazar, Maghbazar",False,True,False,False
A 1330 Square Ft. Apartment Is For Sale At Banasree,3.0,3.0,1.0,1.0,1330.0,7900000.0,"Block B, Banasree",False,True,False,False
An Impressive 1230 Sq Ft Residential Apartment Is Up For Sale In The Center Of East Shewrapara Near To Jheelpar Jame Masjid,3.0,3.0,2.0,1.0,1230.0,7400000.0,"East Shewrapara, Mirpur",False,True,False,False
An Apartment Of 1700 Sq Ft Is Ready For Sale At Uttara,3.0,3.0,7.0,1.0,1700.0,17000000.0,"Sector 7, Uttara",False,True,False,False
"1300 Sq Ft Residential Apartment Is Up For Sale At Uttara, Sector 10",3.0,3.0,6.0,1.0,1300.0,8000000.0,"Sector 10, Uttara",False,True,False,False
A Convenient 1175 Sq Ft Residential Apartment Is Prepared For Sale At South Pirerbag,3.0,2.0,6.0,1.0,1175.0,6300000.0,"Pirerbag, Mirpur",False,True,False,False
"In East Monipur , 1265 Square Feet Apartment Is For Sale.",3.0,3.0,6.0,1.0,1265.0,8500000.0,"East Monipur, Mirpur",False,True,False,False
"Residential Apartment For Sale in Tipu Sultan Road, Middle Pirerbag",3.0,2.0,7.0,1.0,1000.0,5700000.0,"Pirerbag, Mirpur",False,True,False,False
A Delightful Apartment Of 1554 Sq Ft Is Ready For Sale In A Great Location Of Pallabi,3.0,3.0,1.0,1.0,1554.0,11500000.0,"Pallabi, Mirpur",False,True,False,False
1570 Sq Ft Flat For Sale In Imandipur Road near Imandipur Government Primary School,3.0,3.0,8.0,1.0,1570.0,5600000.0,"Imandipur, Savar",False,True,False,False
Visit This Apartment For Sale In East Monipur Near Life Aid Specialized Hospital Pvt. Ltd.,3.0,2.0,5.0,1.0,1050.0,4500000.0,"East Monipur, Mirpur",False,True,False,False
Check This Nice 815 Sq Ft Flat For Sale At East Monipur Nearby Monipur Baitur Rowshon Jame Masjid,2.0,2.0,6.0,1.0,815.0,4200000.0,"East Monipur, Mirpur",False,True,False,False
Stunning 2553 Square Feet Apartment For Sale In Uttara 5,4.0,5.0,7.0,1.0,2553.0,38000000.0,"Sector 5, Uttara",False,True,False,False
Commodious 1590 Sq Ft Flat For Sale In Banasree,3.0,3.0,6.0,1.0,1590.0,11200000.0,"Block B, Banasree",False,True,False,False
